	120	150	180	210	240	270	300	330	360
120	530								
150	530	560							
180	560	620	670						
210	620	670	730	780					
240	660	730	780	850	900				
270	700	770	840	900	970	1030			
300	760	830	900	970	1030	1110	1180		
330	800	880	960	1030	1100	1180	1250	1330	
360	860	940	1010	1090	1170	1250	1330	1410	1490
390	900	990	1070	1160	1230	1320	1410	1490	1570
420	950	1030	1120	1210	1300	1390	1470	1560	1650
450	1000	1090	1190	1280	1360	1460	1550	1650	1740
480	1050	1140	1240	1340	1430	1530	1630	1730	1830
510	1100	1200	1300	1400	1500	1610	1710	1800	1900
540	1140	1250	1350	1460	1560	1670	1780	1880	1990
570	1190	1300	1410	1520	1630	1740	1850	1960	2070
